9950 9949
289742 -0.572294 SAD
342439 -0.572068 SAD
270727 -0.571981 SAD
131919 -0.571905 SAD
177414 -0.571868 SAD
140136 -0.571854 SAD
291117 -0.571854 SAD
165114 -0.571823 SAD
310724 -0.57179 SAD
278484 -0.571771 SAD
127622 -0.571757 SAD
240910 -0.571671 SAD
108380 -0.571647 SAD
77309 -0.571496 SAD
139404 -0.571454 SAD
94467 -0.571401 SAD
133927 -0.571373 SAD
316703 -0.571344 SAD
177320 -0.571271 SAD
252199 -0.571234 SAD
278875 -0.571211 MAX
115389 -0.571167 SAD
195454 -0.571159 SAD
134378 -0.571088 SAD
108929 -0.571086 SAD
96480 -0.571025 SAD
102660 -0.5709 SAD
291547 -0.570786 SAD
121413 -0.57076 SAD
227762 -0.570738 SAD
272902 -0.570556 SAD
106311 -0.570445 SAD
171015 -0.570345 SAD
283436 -0.570319 SAD
159117 -0.570295 SAD
127102 -0.570237 SAD
127718 -0.570183 SAD
279206 -0.570181 SAD
102819 -0.570168 MAX
96290 -0.569802 SAD
283632 -0.569773 SAD
302444 -0.569767 MAX
310625 -0.569699 SAD
335972 -0.569695 SAD
115108 -0.569628 SAD
90081 -0.569618 SAD
83966 -0.569485 SAD
342235 -0.569444 SAD
279199 -0.569416 SAD
335811 -0.56938 SAD
253586 -0.569287 SAD
240657 -0.569279 SAD
258504 -0.569198 SAD
278936 -0.569131 SAD
115392 -0.569124 MAX
304483 -0.569094 MAX
164710 -0.569015 SAD
253174 -0.569008 SAD
264519 -0.568951 SAD
247085 -0.568925 SAD
266325 -0.568731 SAD
329836 -0.568726 SAD
285511 -0.568706 SAD
165212 -0.568693 SAD
266597 -0.568488 SAD
228025 -0.568382 SAD
303823 -0.568337 SAD
259480 -0.568271 SAD
140618 -0.568222 SAD
304387 -0.568174 SAD
246691 -0.568122 SAD
89659 -0.567952 SAD
272992 -0.567945 MAX
159618 -0.567903 SAD
279308 -0.567902 SAD
277228 -0.567882 SAD
209054 -0.567671 SAD
234067 -0.567662 SAD
277130 -0.567595 SAD
277326 -0.567543 SAD
158405 -0.567285 SAD
297852 -0.567285 SAD
316630 -0.567154 SAD
108803 -0.567143 SAD
122961 -0.567138 MAX
133364 -0.566979 SAD
183547 -0.566973 SAD
83965 -0.566953 SAD
102689 -0.566936 SAD
177585 -0.566881 SAD
323433 -0.566855 SAD
227950 -0.56682 SAD
121698 -0.566677 MAX
285507 -0.566618 MAX
303899 -0.566516 SAD
310885 -0.566436 MAX
234161 -0.566324 SAD
146441 -0.566152 SAD
329636 -0.566098 SAD
190119 -0.565962 MAX
266784 -0.565868 MAX
342181 -0.565789 SAD
152194 -0.565765 SAD
177335 -0.565746 SAD
83871 -0.565726 SAD
125614 -0.565633 SAD
112810 -0.565548 SAD
323073 -0.565271 SAD
258311 -0.565252 MAX
259729 -0.565146 SAD
178535 -0.565004 SAD
297416 -0.564973 SAD
268150 -0.564955 SAD
310228 -0.56495 SAD
121382 -0.56492 SAD
120862 -0.564911 SAD
247215 -0.564881 SAD
108930 -0.564691 MAX
348743 -0.564632 SAD
177432 -0.564604 SAD
132016 -0.564563 SAD
308749 -0.564492 MAX
134408 -0.564472 SAD
285210 -0.56447 SAD
246962 -0.564429 SAD
